"SubjectID" "ActivityCode" "ActivityDescription" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tGravityAccMag-mean()" "tGravityAccMag-std()"
"18" 3 6 "LAYING" -0.988557353333333 -0.99477896 NA -0.99197317 -0.99449985 -0.973355603333333 -0.980515485 -0.99883182 -0.96953501 -0.97710419 -0.95061375 -0.99875787 NA NA -0.99818921 -0.99852395 -0.98569392 -0.98273378 -0.996810365 NA -0.96773003 -0.98837477 -0.994230495 -0.988407496666667 -0.99689743 NA -0.98286933 -0.98232778 -0.976717385 NA -0.97139577 -0.99331646 NA -0.996653 NA -0.95606459 -0.94386115 -0.96890652 NA NA -0.98239022 -0.99060128 NA -0.99700901 NA NA NA NA NA -0.96348712 NA NA NA NA -0.99772717 NA -0.997067655 -0.975513765 -0.992581645 -0.99417574 NA -0.96297071 -0.9727925 NA -0.99881327 NA
"19" 4 1 "WALKING" -0.81884534 -0.78971719 NA -0.78430716 -0.67886436 -0.77141327 -0.767469296666667 -0.771838675 -0.783275815 -0.77405458 -0.7888012 -0.82068248 -0.720720623333333 -0.68952288 -0.72656727 -0.740591435 -0.78473844 -0.76794246 -0.730425205 -0.7317713 -0.74982622 -0.779520545 NA NA NA -0.74616115 NA -0.77970659 -0.81146523 NA NA NA NA NA NA -0.78762478 -0.80442789 NA NA NA NA -0.75201243 NA -0.75477544 -0.73577196 NA NA -0.66133248 -0.77535223 -0.789419015 -0.81099972 NA NA NA NA NA NA NA NA NA -0.75694121 NA -0.7801096 -0.771873005 NA NA
"20" 4 2 "WALKING_UPSTAIRS" NA -0.73446394 -0.79449868 -0.82725337 -0.69460125 -0.82844013 -0.810248585 -0.77184324 NA -0.77966086 -0.767067825 -0.752928553333333 NA NA -0.77345709 -0.83294113 NA NA -0.83428883 -0.793050556666667 NA -0.81414341 NA -0.821987305 NA -0.763976895 NA -0.70485093 NA NA NA NA -0.81874402 NA NA NA -0.8131955 -0.8307135 NA NA NA -0.7655275 NA NA -0.86187403 -0.80467911 -0.77906159 NA -0.78981792 -0.80406488 NA -0.7769158 -0.823585206666667 -0.764011545 -0.80182086 NA NA -0.83526836 -0.80513441 -0.772069115 NA NA -0.79726395 -0.84521476 -0.82258183 -0.82144051
"21" 4 3 "WALKING_DOWNSTAIRS" -0.65298227 -0.82141952 NA -0.72247308 NA NA NA -0.6455283 NA NA -0.70567499 -0.75242403 NA NA NA NA -0.62705218 -0.69174337 -0.676338863333333 -0.625366005 NA NA NA NA -0.71265765 NA -0.69910975 NA -0.73222508 NA -0.70680019 NA NA -0.6509424 -0.67910469 NA -0.51175473 -0.77114149 NA -0.68756844 NA -0.74203593 NA NA -0.74832841 -0.65884662 -0.737346285 -0.653395995 NA -0.84160659 -0.46819424 NA -0.687253 NA NA -0.70428598 -0.67184288 NA NA NA -0.60088825 -0.61217878 -0.74813859 -0.68686718 NA NA
"22" 4 4 "SITTING" -0.92945783 -0.96232558 -0.965345065 -0.97074313 NA NA NA -0.97841245 -0.98258269 -0.96700731 NA NA NA NA NA NA NA -0.97446763 -0.98369042 NA NA NA -0.98161582 NA NA -0.99516989 NA NA NA NA -0.99812904 -0.99019983 NA NA NA -0.9964851 NA -0.983737466666667 NA NA -0.978132945 -0.98746275 NA NA NA -0.9952178 -0.99475232 -0.99170239 -0.90981862 -0.99435195 -0.99559928 -0.99607144 -0.97925632 -0.98309138 -0.95735371 -0.92415653 NA NA -0.97807886 -0.9772573 -0.99425052 NA -0.94875143 -0.98235132 NA NA
"23" 4 5 "STANDING" NA NA NA -0.94637014 -0.99370068 NA -0.96167747 -0.97716618 -0.97160318 NA -0.98397963 -0.98271491 NA NA -0.981431513333333 -0.98295508 NA -0.98766679 NA NA NA NA NA -0.96047332 -0.93166751 -0.95215881 -0.99225818 -0.9344862 -0.93750688 -0.98634397 -0.98315841 NA -0.99428308 -0.94570543 -0.9706162 -0.99396016 -0.979427505 -0.96531072 -0.98866433 -0.99067054 NA NA NA -0.98546211 -0.885608855 -0.86927633 -0.96685883 -0.97601463 NA -0.98557015 -0.99293147 -0.99622342 NA NA NA -0.94092955 NA NA NA -0.97202972 -0.98577038 -0.99576991 -0.99448828 -0.99526296 NA -0.98725418
"24" 4 6 "LAYING" NA NA NA NA NA NA NA NA NA NA -0.99018221 NA -0.97816244 -0.95188057 -0.94744822 NA -0.994009845 -0.99704776 -0.99664337 -0.96858171 NA NA -0.9975531 -0.9207544 -0.9589429 -0.9927829 -0.983530685 -0.958207605 -0.985827595 -0.996513635 -0.99730468 -0.99727542 -0.99596312 NA NA NA NA NA -0.99600611 -0.99342854 NA NA -0.996106375 -0.99712296 -0.99674386 -0.990644815 NA NA NA NA -0.99691043 -0.963583333333333 -0.987637395 NA NA NA -0.94843391 -0.9117296 -0.99688456 -0.996329855 -0.995337 -0.99660326 -0.959304375 -0.99674553 NA NA
"25" 5 1 "WALKING" NA NA NA NA NA -0.31413537 -0.34402107 NA NA NA NA -0.53573425 NA NA NA NA -0.462964425 -0.47898889 -0.58194805 -0.526984335 -0.49964047 -0.52162008 -0.43048852 -0.44350214 -0.50840655 -0.51350461 -0.48887185 -0.455808345 -0.4528224 -0.52518986 -0.488261495 -0.39148822 -0.394075005 -0.61460361 -0.57125179 -0.50557293 -0.41439713 -0.392655095 NA NA NA NA -0.42614535 -0.35203251 -0.37497616 -0.37146971 NA NA NA NA -0.57172722 -0.60746109 -0.63144611 NA NA NA NA NA -0.32999192 -0.44612982 -0.458594075 -0.44782922 -0.336362635 -0.30225084 NA NA
"26" 5 2 "WALKING_UPSTAIRS" NA NA NA NA -0.67969355 -0.564097585 -0.528019 -0.56300262 NA NA NA NA -0.55255597 -0.61193721 -0.68710382 NA NA -0.65911892 NA -0.43689669 NA -0.57650326 -0.62134304 -0.58876332 -0.57093677 NA -0.62625312 NA NA -0.53037556 NA NA -0.58476915 NA -0.530460805 -0.6874865 -0.59695916 -0.51723803 NA NA -0.5734971825 -0.44947419 NA -0.563287855 -0.52039614 -0.59213041 NA -0.52249769 -0.62762355 -0.59270062 NA -0.59349408 -0.47302046 -0.51461753 NA -0.47572802 -0.61625426 NA NA -0.57606689 NA NA NA NA NA -0.590273045
"27" 5 3 "WALKING_DOWNSTAIRS" -0.603645125 -0.32288039 NA -0.669475585 -0.58489503 NA NA NA NA NA -0.4419746 -0.41113159 NA -0.53209215 NA NA NA NA NA -0.47151311 -0.48678088 NA -0.53493316 -0.62832681 -0.49091169 -0.536638253333333 NA -0.58255368 -0.3322266 NA NA NA -0.46545159 NA NA NA NA NA NA -0.47529447 -0.48729065 -0.54150077 -0.32149353 NA NA -0.52377615 NA NA NA -0.57016913 -0.56864899 -0.15203541 NA -0.62423502 -0.474535236666667 NA -0.332546156666667 -0.485291815 NA NA NA NA NA -0.34643103 -0.52943368 NA
"28" 5 4 "SITTING" NA -0.98109074 NA NA NA NA -0.99081078 -0.97629926 -0.97581205 -0.975338065 -0.98939201 -0.97787409 -0.94470347 -0.98832203 -0.968316495 -0.98670498 NA NA -0.93833995 NA NA NA NA NA NA -0.90764175 NA NA NA NA NA -0.98286916 NA -0.98985133 NA -0.9809777 -0.93604716 -0.92829062 NA NA -0.97749575 NA -0.966052023333333 NA NA -0.989091815 -0.95215344 NA NA NA NA -0.92201323 NA -0.97381616 NA NA -0.94219881 NA -0.98862929 -0.98733534 -0.963594885 -0.98639863 NA -0.98537046 NA NA
"29" 5 5 "STANDING" -0.99699718 -0.98080158 -0.937896005 -0.93712304 -0.90593325 NA NA NA NA NA -0.830707465 NA NA -0.98161738 -0.93036893 -0.94716085 NA -0.98172102 NA NA NA -0.91562521 NA -0.95227099 -0.94345714 -0.94636783 -0.9771787 -0.97590258 -0.950352625 NA NA -0.863212226666667 -0.93688114 NA NA NA -0.95763992 -0.99477296 NA NA -0.95186562 NA -0.98582832 NA -0.95239439 -0.99318181 NA -0.9633712 NA NA -0.99551146 -0.96440704 -0.93087763 -0.9459817 NA -0.99208809 -0.96389058 NA -0.910163455 -0.920078305 -0.96681546 -0.98161262 -0.96507047 -0.927821805 NA NA
"30" 5 6 "LAYING" NA NA NA NA NA -0.99294899 -0.98853527 -0.96432157 NA NA NA NA NA -0.96233696 -0.94880468 -0.98673619 -0.98980576 -0.95848439 -0.9897673 -0.9939448 NA NA NA -0.99506356 NA NA NA NA -0.98931653 NA NA NA -0.958547465 -0.971182395 -0.96199347 -0.96955323 -0.96423106 -0.977072405 -0.99371754 -0.98827566 NA -0.99002574 -0.990082203333333 -0.986706255 -0.986929715 -0.98688618 -0.98608256 -0.988768076666667 -0.98724341 -0.986892175 -0.98639516 -0.99302587 NA NA NA NA NA NA -0.99298799 -0.99461269 -0.99334893 -0.99335866 -0.99430875 -0.9924676 -0.98936131 -0.99087989
"31" 6 1 "WALKING" -0.570293835 -0.41559469 -0.40385615 -0.487263203333333 -0.390572215 -0.53332085 -0.57356209 -0.55808153 -0.60516621 NA NA NA -0.54561334 -0.59539448 -0.59101982 NA NA -0.48798076 NA NA NA NA -0.5192785 -0.36331663 -0.370839665 -0.48895087 NA NA -0.60358197 -0.63993829 -0.595637 -0.52746272 -0.58477578 -0.28605001 -0.16233692 -0.18393187 -0.13989367 0.0082409615 NA NA -0.38019207 -0.19363729 -0.16240918 -0.31902448 -0.34595379 -0.35274355 -0.39583252 -0.41004258 -0.47466381 -0.15793642 -0.087357701 -0.19036586 -0.271681485 -0.32497326 -0.6336732 -0.63976414 NA NA -0.5289114 -0.47583746 NA NA NA -0.42400517 NA NA
"32" 6 2 "WALKING_UPSTAIRS" NA -0.3961702 -0.34205964 NA -0.49216821 NA NA -0.43381109 -0.30239609 NA -0.66209105 -0.438270395 -0.27335613 -0.42294545 NA NA NA NA -0.65746811 NA -0.484501343333333 -0.52903007 NA -0.53092013 NA NA -0.51255808 -0.56837184 -0.52036487 -0.4624652 -0.51197094 -0.51569276 NA -0.41862429 NA NA -0.59119974 NA -0.42061524 -0.39941737 -0.24653617 -0.45602099 -0.68211043 -0.546417825 NA NA NA -0.70965436 NA -0.39174948 NA NA -0.27328288 -0.33642803 NA NA -0.64267399 -0.64446158 -0.4458010996 0.013764438 -0.45596682 NA NA NA -0.2251042 -0.29787113
"33" 6 3 "WALKING_DOWNSTAIRS" NA NA 0.225283465 0.25022453 -0.14522484 NA 0.197205369 -0.054344511 NA -0.208557438565 0.092529677 NA NA NA -0.44421684 -0.29411286 -0.45705443 -0.34953901 NA NA 0.22332324 -0.23438219 -0.07775467 -0.38284961 -0.42411003 0.11266751 NA -0.021425651 NA -0.10900487 -0.02037315 NA -0.37183663 NA NA -0.50196855 -0.282058037 -0.1882326645 0.033078452 NA NA NA NA NA NA NA NA NA NA -0.56579022 -0.013028677 0.0082588838 NA -0.0766152 NA -0.014149535 NA NA NA -0.27188333 -0.221262985 NA -0.23352447 -0.29646551 0.0014654395 NA
"34" 6 4 "SITTING" NA NA -0.78105461 -0.76511164 NA -0.87846351 -0.86385497 NA NA NA NA -0.97034146 -0.97187503 -0.92553295 -0.981966405 -0.899706025 -0.95614438 -0.96643751 NA NA NA NA NA NA -0.98864032 NA -0.98786436 NA NA NA -0.96319834 -0.980922935 -0.96321146 NA -0.98915795 -0.97280798 -0.97857685 -0.95991119 NA -0.98131633 NA -0.9777427 -0.98719336 -0.98131593 -0.96782831 -0.97265128 NA -0.946305095 -0.94949476 NA -0.99187524 -0.97269937 -0.901007655 -0.97724889 NA -0.98351346 NA NA -0.96693239 -0.94772499 -0.94762876 NA -0.98467437 NA -0.98708728 -0.97961844
